Brussels;Brussels;brussels;brussels;1249597;brussels0;50.839;4.363;1;1
Antwerp;Antwerpen;antwerp;antwerpen;544759;antwerp0;51.221;4.4;2;2
Ghent;Oost-Vlaanderen;ghent;gent;269597;gent0;51.054;3.725;3;3
Charleroi;Hainaut;charleroi;charleroi;204322;charleroi0;50.412;4.445;4;4
Liege;Liege;liege;luik;195778;liege0;50.641;5.572;5;5
Bruges;West-Vlaanderen;bruges;brugge;119869;brugge0;51.209;3.224;6;6
Namur;Namur;namur;namen;114142;namur0;50.463;4.867;7;7
Leuven;Vlaams-Brabant;leuven;louvain;104009;leuven0;50.88;4.701;8;8
Mons;Hainaut;mons;bergen;96358;mons0;50.453;3.949;9;9
Aalst;Oost-Vlaanderen;aalst;alost;90995;aalst0;50.938;4.039;10;10
Mechelen;Antwerpen;mechelen;malines;89313;mechelen0;51.028;4.48;11;11
Sint Niklaas;Oost-Vlaanderen;sintniklaas;stnicolas;81863;sintniklaas0;51.164;4.14;12;12
La Louviere;Hainaut;lalouviere;lalouviere;81241;lalouviere0;50.478;4.188;13;13
Hasselt;Limburg;hasselt;hasselt;80828;hasselt0;50.93;5.338;14;14
Kortrijk;West-Vlaanderen;kortrijk;courtrai;80032;kortrijk0;50.828;3.265;15;15
Oostende;West-Vlaanderen;oostende;ostend;72586;oostende0;51.225;2.913;16;16
Tournai;Hainaut;tournai;doornik;68554;tournai0;50.606;3.389;17;17
Genk;Limburg;genk;genk;67877;genk0;50.965;5.5;18;18
Roeselare;West-Vlaanderen;roeselare;roulers;66262;roeselare0;50.945;3.123;19;19
Seraing;Liege;seraing;seraing;64266;seraing0;50.599;5.512;20;20
Mouscron;Hainaut;mouscron;moeskroen;59987;mouscron0;50.744;3.216;21;21
Verviers;Liege;verviers;verviers;55770;verviers0;50.593;5.862;22;22
Beveren;Oost-Vlaanderen;beveren;beveren;50838;beveren0;51.214;4.258;23;23
Beringen;Limburg;beringen;beringen;48353;beringen0;51.048;5.224;24;24
Vilvoorde;Vlaams-Brabant;vilvoorde;vilvorde;47445;vilvoorde0;50.927;4.425;25;25
Turnhout;Antwerpen;turnhout;turnhout;47305;turnhout0;51.323;4.948;26;26
Dendermonde;Oost-Vlaanderen;dendermonde;termonde;47185;dendermonde0;51.028;4.099;27;27
Deinze;Oost-Vlaanderen;deinze;deinze;45471;deinze0;50.984;3.527;28;28
Dilbeek;Vlaams-Brabant;dilbeek;dilbeek;44878;dilbeek0;50.845;4.264;29;29
Heist op den Berg;Antwerpen;heistopdenberg;heist;44505;heistopdenberg0;51.076;4.729;30;30
Lokeren;Oost-Vlaanderen;lokeren;lokeren;43554;lokeren0;51.104;3.989;31;31
Halle;Vlaams-Brabant;halle;hal;42595;halle0;50.736;4.237;32;32
Geel;Antwerpen;geel;geel;42331;geel0;51.162;4.991;33;33
Sint Truiden;Limburg;sinttruiden;sttruiden;41469;sinttruiden0;50.816;5.186;34;34
Herstal;Liege;herstal;herstal;40814;herstal0;50.665;5.63;35;35
Braine lAlleud;Brabant Wallon;brainelalleud;eigenbrakel;40461;brainelalleud0;50.683;4.371;36;36
Ninove;Oost-Vlaanderen;ninove;ninove;40363;ninove0;50.837;4.021;37;37
