Sao Paulo;brazil;saopaulo;saopaulo;12141890;saopaulo0;-23.544;-46.634;1;1
Rio de Janeiro;brazil;riodejaneiro;rio;6718900;riodejaneiro0;-22.903;-43.19;2;2
Brasilia;brazil;brasilia;brasilia;2912090;brasilia0;-15.794;-47.882;3;3
Salvador;brazil;salvador;salvador;2871560;salvador0;-12.973;-38.51;4;4
Fortaleza;brazil;fortaleza;fortaleza;2669340;fortaleza0;-3.723;-38.526;5;5
Belo Horizonte;brazil;belohorizonte;belohorizonte;2512070;belohorizonte0;-19.919;-43.939;6;6
Manaus;brazil;manaus;manaus;2171700;manaus0;-3.13;-60.023;7;7
Curitiba;brazil;curitiba;curitiba;1933110;curitiba0;-25.428;-49.271;8;8
Recife;brazil;recife;recife;1645730;recife0;-8.056;-34.881;9;9
Goiania;brazil;goiania;goiania;1509470;goiania0;-16.681;-49.256;10;10
Porto Alegre;brazil;portoalegre;portoalegre;1483770;portoalegre0;-30.032;-51.23;11;11
Belem;brazil;belem;belem;1479970;belem0;-1.455;-48.503;12;12
Campinas;brazil;campinas;campinas;1064170;campinas0;-22.906;-47.06;13;13
Sao Luis;brazil;saoluis;saoluis;1040740;saoluis0;-2.531;-44.307;14;14
Maceio;brazil;maceio;maceio;1018270;maceio0;-9.665;-35.736;15;15
Guarulhos;brazil;guarulhos;guarulhos;885690;guarulhos0;-23.468;-46.532;16;16
Natal;brazil;natal;natal;884120;natal0;-5.787;-35.207;17;17
Campo Grande;brazil;campogrande;campogrande;881640;campogrande0;-20.465;-54.616;18;18
Teresina;brazil;teresina;teresina;815270;teresina0;-5.087;-42.805;19;19
Nova Iguacu;brazil;novaiguacu;novaiguacu;812160;novaiguacu0;-22.758;-43.447;20;20
Sao Bernardo do Campo;brazil;saobernardodocampo;saobernardodocampo;806820;saobernardodocampo0;-23.697;-46.552;21;21
Joao Pessoa;brazil;joaopessoa;joaopessoa;805960;joaopessoa0;-7.12;-34.853;22;22
Osasco;brazil;osasco;osasco;698420;osasco0;-23.535;-46.784;23;23
Ribeirao Preto;brazil;ribeiraopreto;ribeiraopreto;687930;ribeiraopreto0;-21.178;-47.81;24;24
Sorocaba;brazil;sorocaba;sorocaba;672460;sorocaba0;-23.5;-47.458;25;25
Uberlandia;brazil;uberlandia;uberlandia;668520;uberlandia0;-18.92;-48.278;26;26
Aracaju;brazil;aracaju;aracaju;657010;aracaju0;-10.913;-37.052;27;27
Santo Andre;brazil;santoandre;santoandre;610990;santoandre0;-23.657;-46.532;28;28
Sao Jose dos Campos;brazil;saojosedoscampos;saojosedoscampos;609480;saojosedoscampos0;-23.18;-45.888;29;29
Juiz de Fora;brazil;juizdefora;juizdefora;558510;juizdefora0;-21.761;-43.35;30;30
Joinville;brazil;joinville;joinville;557830;joinville0;-26.303;-48.844;31;31
Feira de Santana;brazil;feiradesantana;feiradesantana;547850;feiradesantana0;-12.259;-38.965;32;32
Londrina;brazil;londrina;londrina;544720;londrina0;-23.313;-51.16;33;33
Ananindeua;brazil;ananindeua;ananindeua;529290;ananindeua0;-1.366;-48.373;34;34
Niteroi;brazil;niteroi;niteroi;513580;niteroi0;-22.891;-43.12;35;35
Belford Roxo;brazil;belfordroxo;belfordroxo;510910;belfordroxo0;-22.765;-43.4;36;36
Jardim Presidente Dutra;brazil;jardimpresidentedutra;jardimpresidentedutra;493490;jardimpresidentedutra0;-23.455;-46.42;37;37
Caxias do Sul;brazil;caxiasdosul;caxiasdosul;487300;caxiasdosul0;-29.168;-51.18;38;38
Maua;brazil;maua;maua;472910;maua0;-23.669;-46.455;39;39
Macapa;brazil;macapa;macapa;467070;macapa0;0.036;-51.056;40;40
Porto Velho;brazil;portovelho;portovelho;456430;portovelho0;-8.764;-63.906;41;41
Betim;brazil;betim;betim;436140;betim0;-19.969;-44.198;42;42
Santos;brazil;santos;santos;432990;santos0;-23.967;-46.333;43;43
Diadema;brazil;diadema;diadema;423880;diadema0;-23.684;-46.623;44;44
Sao Jose do Rio Preto;brazil;saojosedoriopreto;saojosedoriopreto;420170;saojosedoriopreto0;-20.811;-49.38;45;45
Contagem;brazil;contagem;contagem;417120;contagem0;-19.935;-44.053;46;46
Maringa;brazil;maringa;maringa;406250;maringa0;-23.426;-51.938;47;47
Jundiai;brazil;jundiai;jundiai;400940;jundiai0;-23.185;-46.887;48;48
Campos dos Goytacazes;brazil;camposdosgoytacazes;camposdosgoytacazes;390300;camposdosgoytacazes0;-21.756;-41.324;49;49
Boa Vista;brazil;boavista;boavista;390070;boavista0;2.821;-60.672;50;50
