Toronto;ONT;toronto;toronto;3110984;toronto0;43.721;-79.402;1;1
Montreal;QUE;montreal;montreal;1874560;montreal0;45.574;-73.587;1;2
Calgary;ALB;calgary;calgary;1481466;calgary0;51.043;-114.04;1;3
Edmonton;ALB;edmonton;edmonton;1128811;edmonton0;53.511;-113.541;2;4
Ottawa;ONT;ottawa;ottawa;1114316;ottawa0;45.199;-75.8;2;5
Winnipeg;MAN;winnipeg;winnipeg;815599;winnipeg0;49.865;-97.132;1;6
Mississauga;ONT;mississauga;mississauga;756453;mississauga0;43.591;-79.666;3;7
Brampton;ONT;brampton;brampton;744041;brampton0;43.712;-79.752;4;8
Vancouver;BC;vancouver;vancouver;732581;vancouver0;49.245;-123.073;1;9
Surrey;BC;surrey;surrey;653039;surrey0;49.124;-122.779;2;10
Hamilton;ONT;hamilton;hamilton;615244;hamilton0;43.291;-80.045;5;11
Quebec;QUE;quebec;quebec;578593;quebec0;46.87;-71.272;2;12
Halifax;NS;halifax;halifax;491921;halifax0;44.648;-63.602;1;13
London;ONT;london;london;474643;london0;42.955;-81.234;6;14
Laval;QUE;laval;laval;451986;laval0;45.607;-73.721;3;15
Markham;ONT;markham;markham;357298;markham0;43.888;-79.285;7;16
Vaughan;ONT;vaughan;vaughan;344930;vaughan0;43.836;-79.567;8;17
Kitchener;ONT;kitchener;kitchener;300892;kitchener0;43.418;-80.47;9;18
Gatineau;QUE;gatineau;gatineau;298740;gatineau0;45.422;-75.828;4;19
Saskatoon;SAS;saskatoon;saskatoon;295204;saskatoon0;52.143;-106.613;1;20
Burnaby;BC;burnaby;burnaby;283593;burnaby0;49.246;-122.968;3;21
Longueuil;QUE;longueuil;longueuil;262604;longueuil0;45.523;-73.453;5;22
Windsor;ONT;windsor;windsor;255508;windsor0;42.287;-82.977;10;23
Regina;SAS;regina;regina;245640;regina0;50.45;-104.623;2;24
Richmond;BC;richmond;richmond;235093;richmond0;49.156;-123.109;4;25
Oakville;ONT;oakville;oakville;231886;oakville0;43.453;-79.727;11;26
Richmond Hill;ONT;richmond_hill;richmond_hill;212252;richmond_hill0;43.903;-79.428;12;27
Oshawa;ONT;oshawa;oshawa;196165;oshawa0;43.948;-78.878;13;28
Burlington;ONT;burlington;burlington;195764;burlington0;43.383;-79.831;14;29
Sherbrooke;QUE;sherbrooke;sherbrooke;180936;sherbrooke0;45.376;-72.002;6;30
Greater Sudbury;ONT;greater_sudbury;sudbury;179831;greater_sudbury0;46.581;-80.973;15;31
Abbotsford;BC;abbotsford;abbotsford;166842;abbotsford0;49.067;-122.278;5;32
Coquitlam;BC;coquitlam;coquitlam;166584;coquitlam0;49.317;-122.786;6;33
Barrie;ONT;barrie;barrie;164487;barrie0;44.362;-79.692;16;34
Kelowna;BC;kelowna;kelowna;161166;kelowna0;49.885;-119.438;7;35
Guelph;ONT;guelph;guelph;156773;guelph0;43.546;-80.236;17;36
Cambridge;ONT;cambridge;cambridge;156318;cambridge0;43.412;-80.324;18;37
Levis;QUE;levis;levis;156114;levis0;46.662;-71.318;7;38
Whitby;ONT;whitby;whitby;154478;whitby0;43.935;-78.966;19;39
Langley;BC;langley;langley;154099;langley0;49.085;-122.55;8;40
Saguenay;QUE;saguenay;saguenay;149727;saguenay0;48.364;-71.17;8;41
