Paris;Ile-de-France;paris;paris;2145906;paris0;48.867;2.332;1;1
Marseille;Bouches-du-Rhone;marseille;marseille;870321;marseille0;43.298;5.383;2;2
Lyon;Rhone;lyon;lyon;522228;lyon0;45.767;4.834;3;3
Toulouse;Haute-Garonne;toulouse;toulouse;498003;toulouse0;43.604;1.443;4;4
Nice;Alpes-Maritimes;nice;nice;343477;nice0;43.703;7.266;5;5
Nantes;Loire-Atlantique;nantes;nantes;320732;nantes0;47.217;-1.557;6;6
Montpellier;Herault;montpellier;montpellier;299096;montpellier0;43.609;3.879;7;7
Strasbourg;Bas-Rhin;strasbourg;strasbourg;290576;strasbourg0;48.583;7.744;8;8
Bordeaux;Gironde;bordeaux;bordeaux;259809;bordeaux0;44.837;-0.576;9;9
Lille;Nord;lille;lille;236234;lille0;50.637;3.063;10;10
Rennes;Ille-et-Vilaine;rennes;rennes;222485;rennes0;48.112;-1.68;11;11
Reims;Marne;reims;reims;180318;reims0;49.257;4.033;12;12
Toulon;Var;toulon;toulon;179659;toulon0;43.125;5.931;13;13
Saint Etienne;Loire;saint_etienne;st_etienne;174082;saint_etienne0;45.44;4.388;14;14
Le Havre;Seine-Maritime;le_havre;le_havre;165830;le_havre0;49.493;0.107;15;15
Dijon;Cote-d'Or;dijon;dijon;159106;dijon0;47.327;5.044;16;16
Grenoble;Isere;grenoble;grenoble;158240;grenoble0;45.194;5.732;17;17
Angers;Maine-et-Loire;angers;angers;155876;angers0;47.469;-0.549;18;18
Villeurbanne;Rhone;villeurbanne;villeurbanne;154781;villeurbanne0;45.765;4.88;19;19
Nimes;Gard;nimes;nimes;147496;nimes0;43.835;4.361;20;20
Clermont Ferrand;Puy-de-Dome;clermont_ferrand;clermont_ferrand;147284;clermont_ferrand0;45.777;3.082;21;21
Aix en Provence;Bouches-du-Rhone;aix;aix;147122;aix0;43.525;5.454;22;22
Le Mans;Sarthe;le_mans;le_mans;145155;le_mans0;48.008;0.199;23;23
Brest;Finistere;brest;brest;139456;brest0;48.391;-4.487;24;24
Tours;Indre-et-Loire;tours;tours;137850;tours0;47.39;0.689;25;25
Amiens;Somme;amiens;amiens;134167;amiens0;49.894;2.294;26;26
Annecy;Haute-Savoie;annecy;annecy;131766;annecy0;45.9;6.128;27;27
Limoges;Haute-Vienne;limoges;limoges;130592;limoges0;45.829;1.262;28;28
Boulogne Billancourt;Hauts-de-Seine;boulogne_billancourt;boulogne_billancourt;120911;boulogne_billancourt0;48.834;2.243;29;29
Metz;Moselle;metz;metz;120211;metz0;49.116;6.173;30;30
Besancon;Doubs;besancon;besancon;118258;besancon0;47.241;6.026;31;31
Perpignan;Pyrenees-Orientales;perpignan;perpignan;118032;perpignan0;42.702;2.894;32;32
Orleans;Loiret;orleans;orleans;117026;orleans0;47.901;1.904;33;33
Rouen;Seine-Maritime;rouen;rouen;114187;rouen0;49.442;1.098;34;34
Saint Denis;Seine-Saint-Denis;saint_denis;st_denis;113116;saint_denis0;48.936;2.365;35;35
