Tokyo;Tokyo;tokyo;tokyo;9733276;tokyo0;35.674;139.777;1;1
Yokohama;Kanagawa;yokohama;yokohama;3777491;yokohama0;35.443;139.637;1;2
Osaka;Osaka;osaka;osaka;2752412;osaka0;34.694;135.502;1;3
Nagoya;Aichi;nagoya;nagoya;2332176;nagoya0;35.182;136.905;1;4
Sapporo;Hokkaido;sapporo;sapporo;1973395;sapporo0;43.067;141.35;1;5
Fukuoka;Fukuoka;fukuoka;fukuoka;1612392;fukuoka0;33.591;130.402;1;6
Kawasaki;Kanagawa;kawasaki;kawasaki;1538262;kawasaki0;35.532;139.703;2;7
Kobe;Hyogo;kobe;kobe;1525152;kobe0;34.691;135.196;1;8
Kyoto;Kyoto;kyoto;kyoto;1463723;kyoto0;35.011;135.768;1;9
Saitama;Saitama;saitama;saitama;1324025;saitama0;35.858;139.65;1;10
Hiroshima;Hiroshima;hiroshima;hiroshima;1200754;hiroshima0;34.385;132.454;1;11
Sendai;Miyagi;sendai;sendai;1096704;sendai0;38.261;140.875;1;12
Chiba;Chiba;chiba;chiba;974951;chiba0;35.611;140.113;1;13
Kitakyushu;Fukuoka;kitakyushu;kitakyushu;939029;kitakyushu0;33.882;130.879;2;14
Sakai;Osaka;sakai;sakai;826161;sakai0;34.572;135.479;2;15
Hamamatsu;Shizuoka;hamamatsu;hamamatsu;790718;hamamatsu0;34.705;137.734;1;16
Niigata;Niigata;niigata;niigata;789275;niigata0;37.922;139.046;1;17
Kumamoto;Kumamoto;kumamoto;kumamoto;738865;kumamoto0;32.804;130.708;1;18
Sagamihara;Kanagawa;sagamihara;sagamihara;725493;sagamihara0;35.571;139.374;3;19
Okayama;Okayama;okayama;okayama;724691;okayama0;34.656;133.919;1;20
Shizuoka;Shizuoka;shizuoka;shizuoka;693389;shizuoka0;34.976;138.383;2;21
Funabashi;Chiba;funabashi;funabashi;642907;funabashi0;35.697;139.983;2;22
Kawaguchi;Saitama;kawaguchi;kawaguchi;594274;kawaguchi0;35.8;139.722;2;23
Kagoshima;Kagoshima;kagoshima;kagoshima;593128;kagoshima0;31.596;130.559;1;24
Hachioji;Tokyo;hachioji;hachioji;579355;hachioji0;35.658;139.339;2;25
Himeji;Hyogo;himeji;himeji;530495;himeji0;34.827;134.691;2;26
Utsunomiya;Tochigi;utsunomiya;utsunomiya;518757;utsunomiya0;36.56;139.892;1;27
Matsuyama;Ehime;matsuyama;matsuyama;511192;matsuyama0;33.838;132.762;1;28
Matsudo;Chiba;matsudo;matsudo;498232;matsudo0;35.785;139.898;3;29
Ichikawa;Chiba;ichikawa;ichikawa;496676;ichikawa0;35.723;139.926;4;30
Higashiosaka;Osaka;higashiosaka;higashiosaka;493940;higashiosaka0;34.671;135.603;3;31
Nishinomiya;Hyogo;nishinomiya;nishinomiya;485587;nishinomiya0;34.738;135.34;3;32
Oita;Oita;oita;oita;475614;oita0;33.239;131.607;1;33
Kurashiki;Okayama;kurashiki;kurashiki;474592;kurashiki0;34.588;133.773;2;34
Kanazawa;Ishikawa;kanazawa;kanazawa;463254;kanazawa0;36.563;136.656;1;35
Fukuyama;Hiroshima;fukuyama;fukuyama;460930;fukuyama0;34.489;133.361;2;36
Amagasaki;Hyogo;amagasaki;amagasaki;459593;amagasaki0;34.735;135.398;4;37
Fujisawa;Kanagawa;fujisawa;fujisawa;436905;fujisawa0;35.34;139.488;4;38
Machida;Tokyo;machida;machida;431079;machida0;35.545;139.446;3;39
Kashiwa;Chiba;kashiwa;kashiwa;426468;kashiwa0;35.863;139.969;5;40
Toyota;Aichi;toyota;toyota;422330;toyota0;35.087;137.156;2;41
Takamatsu;Kagawa;takamatsu;takamatsu;417496;takamatsu0;34.349;134.049;1;42
Toyama;Toyama;toyama;toyama;413938;toyama0;36.701;137.213;1;43
Nagasaki;Nagasaki;nagasaki;nagasaki;409118;nagasaki0;32.747;129.875;1;44
Gifu;Gifu;gifu;gifu;402557;gifu0;35.42;136.757;1;45
Toyonaka;Osaka;toyonaka;toyonaka;401558;toyonaka0;34.783;135.469;4;46
Miyazaki;Miyazaki;miyazaki;miyazaki;401339;miyazaki0;31.91;131.422;1;47
Hirakata;Osaka;hirakata;hirakata;397289;hirakata0;34.815;135.65;5;48
Yokosuka;Kanagawa;yokosuka;yokosuka;388078;yokosuka0;35.279;139.675;5;49
Suita;Osaka;suita;suita;385567;suita0;34.757;135.514;6;50
Okazaki;Aichi;okazaki;okazaki;384654;okazaki0;34.954;137.174;3;51
Ichinomiya;Aichi;ichinomiya;ichinomiya;380073;ichinomiya0;35.304;136.801;4;52
Takasaki;Gunma;takasaki;takasaki;372973;takasaki0;36.322;139.004;1;53
Nagano;Nagano;nagano;nagano;372760;nagano0;36.649;138.194;1;54
Toyohashi;Aichi;toyohashi;toyohashi;371920;toyohashi0;34.763;137.388;5;55
Wakayama;Wakayama;wakayama;wakayama;356729;wakayama0;34.233;135.174;1;56
Nara;Nara;nara;nara;354630;nara0;34.685;135.812;1;57
Kawagoe;Saitama;kawagoe;kawagoe;354571;kawagoe0;35.919;139.484;3;58
Takatsuki;Osaka;takatsuki;takatsuki;352698;takatsuki0;34.85;135.618;7;59
Otsu;Shiga;otsu;otsu;345070;otsu0;35.006;135.867;1;60
