Mexico City;Mexico City;mexico_city;ciudad_de_mexico;8843706;mexico_city0;19.321;-99.153;1;1
Tijuana;Baja California;tijuana;tijuana;1810645;tijuana0;32.522;-117.033;2;2
Ecatepec;Mexico;ecatepec;ecatepec;1643623;ecatepec0;19.605;-99.054;3;3
Leon;Guanajuato;leon;leon;1579803;leon0;21.122;-101.683;4;4
Puebla;Puebla;puebla;puebla;1542232;puebla0;19.043;-98.198;5;5
Ciudad Juarez;Chihuahua;ciudad_juarez;juarez;1501551;ciudad_juarez0;31.738;-106.483;6;6
Guadalajara;Jalisco;guadalajara;guadalajara;1385621;guadalajara0;20.677;-103.341;7;7
Zapopan;Jalisco;zapopan;zapopan;1257547;zapopan0;20.721;-103.391;8;8
Monterrey;Nuevo Leon;monterrey;monterrey;1142952;monterrey0;25.672;-100.309;9;9
Nezahualcoyotl;Mexico;nezahualcoyotl;neza;1072676;nezahualcoyotl0;19.395;-99.004;10;10
Chihuahua;Chihuahua;chihuahua;chihuahua;925762;chihuahua0;28.636;-106.077;11;11
Merida;Yucatan;merida;merida;921771;merida0;20.967;-89.624;12;12
Cancun;Quintana Roo;cancun;cancun;888797;cancun0;21.16;-86.845;13;13
Saltillo;Coahuila de Zaragoza;saltillo;saltillo;864431;saltillo0;25.433;-100.999;14;14
Aguascalientes;Aguascalientes;aguascalientes;aguascalientes;863893;aguascalientes0;21.881;-102.296;15;15
Hermosillo;Sonora;hermosillo;hermosillo;855563;hermosillo0;29.098;-110.951;16;16
Mexicali;Baja California;mexicali;mexicali;854186;mexicali0;32.651;-115.473;17;17
San Luis Potosi;San Luis Potosi;san_luis_potosi;san_luis_potosi;845941;san_luis_potosi0;22.152;-100.976;18;18
Culiacan Rosales;Sinaloa;culiacan;culiacan;808416;culiacan0;24.803;-107.389;19;19
Santiago de Queretaro;Queretaro de Arteaga;santiago_de_queretaro;queretaro;794789;santiago_de_queretaro0;20.588;-100.388;20;20
Naucalpan de Juarez;Mexico;naucalpan;naucalpan;776220;naucalpan0;19.474;-99.234;21;21
Morelia;Michoacan de Ocampo;morelia;morelia;743275;morelia0;19.702;-101.194;22;22
Chimalhuacan;Mexico;chimalhuacan;chimalhuacan;703215;chimalhuacan0;19.438;-98.96;23;23
Reynosa;Tamaulipas;reynosa;reynosa;691557;reynosa0;26.069;-98.289;24;24
Torreon;Coahuila de Zaragoza;torreon;torreon;690193;torreon0;25.542;-103.433;25;25
Tlalnepantla;Mexico;tlalnepantla;tlalnepantla;658907;tlalnepantla0;19.537;-99.195;26;26
Acapulco de Juarez;Guerrero;acapulco;acapulco;658609;acapulco0;16.861;-99.888;27;27
Tlaquepaque;Jalisco;tlaquepaque;tlaquepaque;650123;tlaquepaque0;20.64;-103.312;28;28
Guadalupe;Nuevo Leon;guadelupe;guadalupe;635862;guadelupe0;25.678;-100.234;29;29
Durango;Durango;durango;durango;616068;durango0;24.02;-104.664;30;30
Tuxtla Gutierrez;Chiapas;tuxtla_gutierrez;tuxtla;578830;tuxtla_gutierrez0;16.754;-93.116;31;31
Ciudad Apodaca;Nuevo Leon;ciudad_apodaca;apodaca;536436;ciudad_apodaca0;25.782;-100.189;32;32
Ciudad Lopez Mateos;Mexico;ciudad_lopez_mateos;lopez_mateos;523065;ciudad_lopez_mateos0;19.543;-99.235;33;33
Cuautitlan Izcalli;Mexico;cuautitlan_izcalli;cuautitlan;515353;cuautitlan_izcalli0;19.657;-99.209;34;34
Matamoros;Tamaulipas;matamoros;matamoros;510739;matamoros0;25.871;-97.504;35;35
General Escobedo;Nuevo Leon;general_escobedo;escobedo;454967;general_escobedo0;25.801;-100.311;36;36
Irapuato;Guanajuato;irapuato;irapuato;452090;irapuato0;20.673;-101.348;37;37
Xalapa Enriquez;Veracruz de Ignacio de la Llave;xalapa_enriquez;xalapa;443063;xalapa_enriquez0;19.527;-96.923;38;38
Tonala;Jalisco;tonala;tonala;442440;tonala0;20.624;-103.242;39;39
Mazatlan;Sinaloa;mazatlan;mazatlan;441975;mazatlan0;23.2;-106.422;40;40
Nuevo Laredo;Tamaulipas;nuevo_laredo;nuevo_laredo;416055;nuevo_laredo0;27.486;-99.508;41;41
San Nicolas de los Garza;Nuevo Leon;san_nicolas_de_los_garzas;san_nicolas;412199;san_nicolas_de_los_garzas0;25.743;-100.293;42;42
