Amsterdam;XXX;amsterdam;amsterdam;935793;amsterdam0;52.373;4.9;1;1
Rotterdam;XXX;rotterdam;rotterdam;672330;rotterdam0;51.92;4.489;2;2
The Hague;XXX;the_hague;den_haag;568419;the_hague0;52.079;4.313;3;3
Utrecht;XXX;utrecht;utrecht;376435;utrecht0;52.093;5.119;4;4
Eindhoven;XXX;eindhoven;eindhoven;249054;eindhoven0;51.439;5.479;5;5
Groningen;XXX;groningen;groningen;244807;groningen0;53.219;6.568;6;6
Tilburg;XXX;tilburg;tilburg;230359;tilburg0;51.557;5.09;7;7
Almere;XXX;almere;almere;229570;almere0;52.372;5.22;8;8
Nijmegen;XXX;nijmegen;nijmegen;188981;nijmegen0;51.848;5.864;9;9
Breda;XXX;breda;breda;188834;breda0;51.589;4.774;10;10
Arnhem;XXX;arnhem;arnhem;169302;arnhem0;52.001;5.903;11;11
Haarlem;XXX;haarlem;haarlem;168655;haarlem0;52.385;4.649;12;12
Apeldoorn;XXX;apeldoorn;apeldoorn;168563;apeldoorn0;52.186;5.947;13;13
Haarlemmermeer;XXX;haarlemmermeer;haarlemmermeer;165220;haarlemmermeer0;52.3;4.686;14;14
Amersfoort;XXX;amersfoort;amersfoort;163310;amersfoort0;52.17;5.385;15;15
Zaanstad;XXX;zaanstad;zaanstad;162784;zaanstad0;52.467;4.761;16;16
Enschede;XXX;enschede;enschede;162337;enschede0;52.229;6.906;17;17
Den Bosch;XXX;den_bosch;s_hertogenbosch;161557;den_bosch0;51.707;5.319;18;18
Zwolle;XXX;zwolle;zwolle;133830;zwolle0;52.51;6.122;19;19
Leiden;XXX;leiden;leiden;130613;leiden0;52.153;4.489;20;20
Leeuwarden;XXX;leeuwarden;leeuwarden;129970;leeuwarden0;53.135;5.821;21;21
Zoetermeer;XXX;zoetermeer;zoetermeer;129941;zoetermeer0;52.06;4.496;22;22
Maastricht;XXX;maastricht;maastricht;125666;maastricht0;50.85;5.702;23;23
Ede;XXX;ede;ede;124262;ede0;52.064;5.675;24;24
Dordrecht;XXX;dordrecht;dordrecht;122847;dordrecht0;51.775;4.68;25;25
Westland;XXX;westland;westland;116897;westland0;51.992;4.223;26;26
Alphen aan den Rijn;XXX;alphen_aan_den_rijn;alphen_aan_den_rijn;115746;alphen_aan_den_rijn0;52.116;4.656;27;27
Alkmaar;XXX;alkmaar;alkmaar;112923;alkmaar0;52.599;4.804;28;28
Delft;XXX;delft;delft;110224;delft0;52;4.364;29;29
Emmen;XXX;emmen;emmen;109698;emmen0;52.746;6.965;30;30
Deventer;XXX;deventer;deventer;104301;deventer0;52.273;6.218;31;31
Venlo;XXX;venlo;venlo;103982;venlo0;51.368;6.168;32;32
Helmond;XXX;helmond;helmond;96540;helmond0;51.48;5.656;33;33
Purmerend;XXX;purmerend;purmerend;95921;purmerend0;52.501;4.972;34;34
Amstelveen;XXX;amstelveen;amstelveen;95862;amstelveen0;52.285;4.852;35;35
Oss;XXX;oss;oss;95233;oss0;51.778;5.553;36;36
Hilversum;XXX;hilversum;hilversum;94351;hilversum0;52.214;5.176;37;37
Land van Cuijk;XXX;land_van_cuijk;land_van_cuijk;92774;land_van_cuijk0;51.656;5.852;38;38
Sittard Geleen;XXX;sittard_geleen;sittard_geleen;92487;sittard_geleen0;51;5.827;39;39
Hoeksche Waard;XXX;hoeksche_waard;hoeksche_waard;90768;hoeksche_waard0;51.769;4.511;40;40
Dijk en Waard;XXX;dijk_en_waard;dijk_en_waard;90745;dijk_en_waard0;52.683;4.832;41;41
Sudwest Fryslan;XXX;sudwest_fryslan;sudwest_fryslan;90532;sudwest_fryslan0;53.023;5.504;42;42
Nissewaard;XXX;nissewaard;nissewaard;88355;nissewaard0;51.835;4.283;43;43
Heerlen;XXX;heerlen;heerlen;87514;heerlen0;50.904;5.963;44;44
Lelystad;XXX;lelystad;lelystad;84722;lelystad0;52.485;5.5;45;45
Meierijstad;XXX;meierijstad;meierijstad;84696;meierijstad0;51.601;5.574;46;46
Hengelo;XXX;hengelo;hengelo;83644;hengelo0;52.268;6.795;47;47
Schiedam;XXX;schiedam;schiedam;82559;schiedam0;51.921;4.389;48;48
Leidschendam Voorburg;XXX;leidschendam_voorburg;leidschendam_voorburg;78309;leidschendam_voorburg0;52.085;4.425;49;49
Roosendaal;XXX;roosendaal;roosendaal;77722;roosendaal0;51.51;4.431;50;50
Vlaardingen;XXX;vlaardingen;vlaardingen;77234;vlaardingen0;51.92;4.336;51;51
Gouda;XXX;gouda;gouda;76536;gouda0;52.018;4.702;52;52
Hoorn;XXX;hoorn;hoorn;76050;hoorn0;52.655;5.065;53;53
Almelo;XXX;almelo;almelo;74752;almelo0;52.346;6.658;54;54
Voorne aan Zee;XXX;voorne_aan_zee;voorne_aan_zee;74544;voorne_aan_zee0;51.847;4.145;55;55
Assen;XXX;assen;assen;70395;assen0;52.999;6.558;56;56
Veenendaal;XXX;veenendaal;veenendaal;70339;veenendaal0;52.024;5.554;57;57
Bergen op Zoom;XXX;bergen_op_zoom;bergen_op_zoom;70216;bergen_op_zoom0;51.51;4.275;58;58
Velsen;XXX;velsen;velsen;70004;velsen0;52.451;4.632;59;59
