Warsaw;Mazowieckie;warsaw;warsaw;1861599;warsaw0;52.238;21.018;1;1
Krakow;Malopolskie;krakow;krakow;806201;krakow0;50.061;19.938;1;2
Wroclaw;Dolnoslaskie;wroclaw;wroclaw;673743;wroclaw0;51.11;17.031;1;3
Lodz;Lodzkie;lodz;lodz;652015;lodz0;51.771;19.466;1;4
Poznan;Wielkopolskie;poznan;poznan;538439;poznan0;52.408;16.934;1;5
Gdansk;Pomorskie;gdansk;gdansk;487371;gdansk0;54.35;18.653;1;6
Szczecin;Zachodniopomorskie;szczecin;szczecin;389066;szczecin0;53.426;14.555;1;7
Lublin;Lubelskie;lublin;lublin;329565;lublin0;51.249;22.569;1;8
Bydgoszcz;Kujawsko-Pomorskie;bydgoszcz;bydgoszcz;326434;bydgoszcz0;53.125;18.003;1;9
Bialystok;Podlaskie;bialystok;bialystok;291688;bialystok0;53.131;23.169;1;10
Katowice;Slaskie;katowice;katowice;279190;katowice0;50.26;19.013;1;11
Gdynia;Pomorskie;gdynia;gdynia;241189;gdynia0;54.523;18.543;2;12
Czestochowa;Slaskie;czestochowa;czestochowa;205969;czestochowa0;50.812;19.128;2;13
Rzeszow;Podkarpackie;rzeszow;rzeszow;197268;rzeszow0;50.038;22.005;1;14
Radom;Mazowieckie;radom;radom;196005;radom0;51.401;21.158;2;15
Torun;Kujawsko-Pomorskie;torun;torun;194771;torun0;53.01;18.605;2;16
Sosnowiec;Slaskie;sosnowiec;sosnowiec;187115;sosnowiec0;50.275;19.128;3;17
Kielce;Swietokrzyskie;kielce;kielce;182295;kielce0;50.872;20.632;1;18
Gliwice;Slaskie;gliwice;gliwice;169915;gliwice0;50.294;18.666;4;19
Olsztyn;Warminsko-Mazurskie;olsztyn;olsztyn;167311;olsztyn0;53.777;20.476;1;20
Bielsko-Biala;Slaskie;bielskobiala;bielskobiala;165766;bielskobiala0;49.823;19.051;5;21
Zabrze;Slaskie;zabrze;zabrze;153838;zabrze0;50.302;18.785;6;22
