Moscow;MOC;moscow;moskva;13010112;moscow0;55.755;37.624;1;1
St Petersburg;STP;st_petersburg;saint_petersburg;5601911;st_petersburg0;59.933;30.365;1;2
Novosibirsk;NOS;novosibirsk;novosibirsk;1633595;novosibirsk0;55.03;82.92;1;3
Yekaterinburg;SVE;yekaterinburg;ekaterinburg;1544376;yekaterinburg0;56.838;60.604;1;4
Kazan;TAT;kazan;kazan;1308660;kazan0;55.796;49.109;1;5
Nizhny Novgorod;NIZ;nizhny_novgorod;gorky;1226076;nizhny_novgorod0;56.328;44.002;1;6
Chelyabinsk;CHE;chelyabinsk;chelyabinsk;1189525;chelyabinsk0;55.159;61.403;1;7
Krasnoyarsk;KRY;krasnoyarsk;krasnojarsk;1187771;krasnoyarsk0;56.009;92.87;1;8
Samara;SAM;samara;samara;1173299;samara0;53.204;50.112;1;9
Ufa;BAS;ufa;ufa;1144809;ufa0;54.726;55.945;1;10
Rostov on Don;ROS;rostov_on_don;rostov;1142162;rostov_on_don0;47.222;39.721;1;11
Omsk;OMS;omsk;omsk;1125695;omsk0;54.99;73.367;1;12
Krasnodar;KRA;krasnodar;krasnodar;1099344;krasnodar0;45.025;38.97;1;13
Voronezh;VOR;voronezh;voronez;1057681;voronezh0;51.661;39.2;1;14
Perm;PER;perm;perm;1034002;perm0;58.015;56.247;1;15
Volgograd;VOL;volgograd;volgograd;1028036;volgograd0;48.709;44.514;1;16
Saratov;SAR;saratov;saratov;901361;saratov0;51.533;46.034;1;17
Tyumen;TYU;tyumen;tjumen;847488;tyumen0;57.154;65.543;1;18
Tolyatti;SAM;tolyatti;togliatti;684709;tolyatti0;53.531;49.412;2;19
Barnaul;ALT;barnaul;barnaul;630877;barnaul0;53.347;83.778;1;20
Izhevsk;UDM;izhevsk;izevsk;623472;izhevsk0;56.853;53.211;1;21
Makhachkala;DAG;makhachkala;machackala;623254;makhachkala0;42.983;47.505;1;22
Khabarovsk;KHB;khabarovsk;chabarovsk;617441;khabarovsk0;48.48;135.072;1;23
Ulyanovsk;ULY;ulyanovsk;uljanovsk;617352;ulyanovsk0;54.315;48.396;1;24
Irkutsk;IRK;irkutsk;irkutsk;617264;irkutsk0;52.29;104.281;1;25
Vladivostok;PRI;vladivostok;vladivostok;603519;vladivostok0;43.115;131.885;1;26
Yaroslavl;YAR;yaroslavl;jaroslavl;577279;yaroslavl0;57.627;39.894;1;27
Kemerovo;KEM;kemerovo;kemerovo;557119;kemerovo0;55.361;86.059;1;28
Tomsk;TOM;tomsk;tomsk;556478;tomsk0;56.485;84.949;1;29
Naberezhnye Chelny;TAT;naberezhnye_chelny;brezhnev;548434;naberezhnye_chelny0;55.697;52.314;2;30
Stavropol;STA;stavropol;stavropol;547443;stavropol0;45.043;41.969;1;31
Orenburg;ORE;orenburg;orenburg;543654;orenburg0;51.768;55.098;1;32
Novokuznetsk;KEM;novokuznetsk;novokuzneck;537480;novokuznetsk0;53.757;87.136;2;33
Ryazan;RYA;ryazan;rjazan;528599;ryazan0;54.629;39.742;1;34
Balashikha;MOS;balashikha;balasicha;520962;balashikha0;55.817;37.967;2;35
Penza;PEN;penza;penza;501109;penza0;53.195;45.019;1;36
Cheboksary;CHU;cheboksary;ceboksary;497807;cheboksary0;56.14;47.249;1;37
Lipetsk;LIP;lipetsk;lipeck;496403;lipetsk0;52.609;39.599;1;38
Kaliningrad;KAL;kaliningrad;kaliningrad;490449;kaliningrad0;54.711;20.512;1;39
Astrakhan;AST;astrakhan;astrachan;475629;astrakhan0;46.35;48.032;1;40
Tula;TUL;tula;tula;473622;tula0;54.195;37.618;1;41
Kirov;KIR;kirov;kirov;468212;kirov0;58.603;49.681;1;42
Sochi;KRA;sochi;soci;466078;sochi0;43.581;39.719;2;43
Kursk;KUR;kursk;kursk;440052;kursk0;51.739;36.193;1;44
Ulan Ude;BUR;ulan_ude;ulan_ude;437565;ulan_ude0;51.835;107.585;1;45
Tver;TUV;tver;tver;416219;tver0;56.858;35.922;1;46
Magnitogorsk;CHE;magnitogorsk;magnitogorsk;410594;magnitogorsk0;53.422;58.984;2;47
Surgut;TYU;surgut;surgut;396443;surgut0;61.254;73.396;2;48
Bryansk;BRY;bryansk;brjansk;379152;bryansk0;53.243;34.363;1;49
Ivanovo;IVA;ivanovo;ivanovo;361644;ivanovo0;56.997;40.981;1;50
Yakutsk;SAK;yakutsk;jakutsk;355443;yakutsk0;62.034;129.744;1;51
Vladimir;VLA;vladimir;vladimir;349951;vladimir0;56.129;40.408;1;52
Belgorod;BEL;belgorod;belgorod;339978;belgorod0;50.595;36.587;1;53
Nizhny Tagil;SVE;nizhny_tagil;nizny_tagil;338966;nizhny_tagil0;57.908;59.973;2;54
Kaluga;KLG;kaluga;kaluga;337058;kaluga0;54.507;36.253;1;55
Chita;ZAB;chita;cita;334427;chita0;52.034;113.501;1;56
Grozny;CHC;grozny;groznyj;328533;grozny0;43.32;45.692;1;57
Volzhsky;VOL;volzhsky;volzskij;321479;volzhsky0;48.782;44.783;2;58
Smolensk;SMO;smolensk;smolensk;316570;smolensk0;54.782;32.049;1;59
Podolsk;MOS;podolsk;podolsk;314934;podolsk0;55.433;37.548;3;60
Saransk;MOR;saransk;saransk;314871;saransk0;54.181;45.186;1;61
Vologda;VLD;vologda;vologda;313944;vologda0;59.222;39.883;1;62
